Issue Type,Issue key,Issue id,Summary,Status,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Прочее,ADM-70240,1280011,DBFZ: Продумать схему продажи НМА в ЮЛ Alphyn (c учетом сохранения прав для реализации проекта по СП в КЗ и исполнения договоров в ЦА),ADM Согл Ю+Б,Alphyn,NoSLA,ОАЭ,,,,,tatyana.bykovskaya,,,,03.06.2026 17:35,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70239,1279981,BSSL: Лицензионный договор Alphyn,ADM Согл Ю+Б,Alphyn,обработано,,,,,,ekaterina.krepp,,,,03.06.2026 17:19,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70238,1279973,Согласование WS на Привлечение специалистов под нужды Halyk,ADM Доработка,ОАЭ,обработано,,,,,,anastasiya.lysenko,,,,03.06.2026 17:05,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70233,1279883,DBSA перевод бланка на арабский язык,Closed,ОАЭ,,,,,,,svetlana.borisova,04.06.2026 14:44,Исправлено/Выполнено,,03.06.2026 15:33,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-70187,1279356,ОАЭ. Налоговый вычет на НИОКР,ADM Согл Ю+Б,NoSLA,ОАЭ,,,,,,ekaterina.fomina,,,,02.06.2026 16:39,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70182,1279278,"DBFZ: внести санкционную оговорку в шаблоны типовых договоров, а также в чек-листы",ADM Согл Ю+Б,ОАЭ,,,,,,,tatyana.bykovskaya,,,,02.06.2026 14:59,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70179,1279245,JV в Казахстане. ТЦО и взаимозависимость,ADM Согл с КА,Казахстан,ОАЭ,,,,,,a.kevrolikina,,,,02.06.2026 14:36,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70158,1278840,KOMP: Приложение № 2 к Рамочному Договору с DBFZ (внедрение и сопровождение системы CVM),Closed,,,,,,,,mariya.shvartsman,01.06.2026 23:49,Отклонено,,01.06.2026 22:41,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70152,1278769,Joint Venture в Казахстане,ADM Согл Ю+Б,NoSLA,ОАЭ,,,,,,tatyana.bykovskaya,,,,01.06.2026 18:33,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70114,1277959,SAPIENT: NDA под проект FTA DG от лица DBFZ,ADM КА п экз GB,_Тверитинов,ОАЭ,,,,,,evgeniy.mironov,,,,29.05.2026 18:57,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70091,1277669,DBSA. Налог у источника для related party,ADM Согл Ю+Б,NoSLA,ОАЭ,,,,,,ekaterina.fomina,,,,29.05.2026 13:59,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-70088,1277546,UNIAZ Подготовить рамочный договор,Closed,,,,,,,,petr.bobov,29.05.2026 13:35,Исправлено/Выполнено,,29.05.2026 12:51,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70087,1277545,UNIAZ Подготовить рамочный договор,ADM Согл с КА,ОАЭ,обработано,,,,,,petr.bobov,,,,29.05.2026 12:44,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70077,1277400,KOMP: Рамочный договор с DBFZ на поставку лицензий ПО и оказание услуг по внедрению и сопровождению системы CVM,ADM Согл БУ,ADM_Центр-Азия,Alphyn,обработано,,,,,mariya.shvartsman,,,,29.05.2026 01:04,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70074,1277360,Alphyn trial licence agreement (draft),ADM Согл с КА,Alphyn,,,,,,,Tatyana.Zhukova,,,,28.05.2026 19:25,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70073,1277359,Договор на тестовые лицензии Alphyn (драфт),ADM Согл с КА,Alphyn,,,,,,,Tatyana.Zhukova,,,,28.05.2026 19:25,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-70041,1277072,Contract with Argos LLC,ADM GB п перв,_Тверитинов,ОАЭ,ФБ,,,,,veronika.ulyashova,,,,28.05.2026 13:24,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-70036,1277020,Проверка КА из Грузии,ADM Доработка,ADM_Центр-Азия,,,,,,,olga.lazovskaya,,,,28.05.2026 11:54,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69967,1276107,DBSA. Включение вилл в налоговую базу по взносам ,ADM Доработка,ОАЭ,,,,,,,a.kevrolikina,,,,26.05.2026 13:37,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-69962,1276062,Вопрос по шаблону договора DBFZ-KOMP,ADM Согл с КА,ОАЭ,,,,,,,mariya.shvartsman,,,,26.05.2026 12:22,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69961,1276058,KRNK Заказ №11 к договору ADM-56724 (ТП май 2026),ADM Согл с КА,ОАЭ,обработано,,,,,,linda.gerasimova,,,,26.05.2026 12:16,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69948,1275940,KRNK Заказ №12 к договору ADM-56724 (T&M Q2),ADM Согл с КА,ОАЭ,обработано,,,,,,linda.gerasimova,,,,26.05.2026 08:58,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69931,1275614,Открытие ЮЛ в Катаре,ADM Согл Ю+Б,NoSLA,ОАЭ,,,,,,tatyana.bykovskaya,,,,25.05.2026 14:54,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69916,1275431,DBFZ. DPA with Zoho,ADM Доработка,ОАЭ,обработано,,,,,,mariya.saveleva,,,,25.05.2026 11:24,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69911,1275304,SAPIENT: NDA под проект FTA DG,ADM КА п экз GB,_Тверитинов,ОАЭ,обработано,,,,,evgeniy.mironov,,,,24.05.2026 23:02,,,noreply,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-69904,1275092,DBFZ: NDA с провайдером Auxilium-Кувейт,ADM КА П ПЕРВ,ОАЭ,обработано,проверить_подписантаКА,,,,,alisa.serobyan,,,,22.05.2026 15:57,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69903,1275082,DBFZ: проверить возможность передачи НМА с сохранением налоговой льготы при варианте выделения (разделения) Alphyn из DBFZ,ADM Согл с КА,ОАЭ,,,,,,,tatyana.bykovskaya,,,,22.05.2026 15:44,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69902,1275071,DBFZ: проверить кого указывали в качестве разработчиков ПО при регистрации в арабпатенте и в бух.учете,ADM Согл с КА,Alphyn,ОАЭ,,,,,,tatyana.bykovskaya,,,,22.05.2026 15:37,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69899,1275052,DBSA. NDA для Benchmarking Report 2025 года,Closed,_Алиева,ОАЭ,нетподписанта,обработано,,,,n.chubukinasolovey,02.06.2026 10:43,Исправлено/Выполнено,,22.05.2026 15:12,,,noreply,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69896,1274998,DBFZ: договор с провайдером Auxilium-Кувейт,ADM Согл с КА,ОАЭ,обработано,,,,,,alisa.serobyan,,,,22.05.2026 13:55,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69883,1274716,DBFZ. Tax Audit,ADM Согл с КА,ОАЭ,,,,,,,ekaterina.fomina,,,,21.05.2026 18:16,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69881,1274690,DBFZ. Доп. заказ с T1A DE 2026 SoW 21 ,ADM КА П ПЕРВ,ОАЭ,обработано,,,,,,natalya.voevodina,,,,21.05.2026 17:44,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69867,1274517,DBSA. Подписание DPA Zoho,ADM Доработка,ОАЭ,обработано,,,,,,n.chubukinasolovey,,,,21.05.2026 14:11,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-69841,1273982,DBFZ Страховка Third party liability 2026-2027,ADM Согл Ю+Б,ОАЭ,,,,,,,anastasiya.vavulina,,,,20.05.2026 15:14,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69835,1273901,Databorn KZ: Займ на Databorn FZ 380 000 $,ADM КА п экз GB,_Суставов,ОАЭ,обработано,,,,,natalya.voevodina,,,,20.05.2026 13:13,,,lyazzat.tokseitova,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69822,1273729,DBFZ. Постановление об изменении в дате выплаты ЗП,ADM Согл с КА,ОАЭ,,,,,,,mariya.saveleva,,,,20.05.2026 09:26,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69817,1273447,ARB: Vendor Risk Requirements (VRA),Closed,ОАЭ,,,,,,,anastasiya.pisareva,20.05.2026 17:24,Исправлено/Выполнено,,19.05.2026 18:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69816,1273446,ARB: Statement of Compliance,Closed,ОАЭ,,,,,,,anastasiya.pisareva,20.05.2026 17:22,Исправлено/Выполнено,,19.05.2026 18:45,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69805,1273287,ARB: Work in Hand,Closed,ОАЭ,,,,,,,anastasiya.pisareva,20.05.2026 17:20,Исправлено/Выполнено,,19.05.2026 14:52,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69800,1273193,GOOGLE CLOUD PARTNER PROGRAM AGREEMENT - DBSA & Affiliates ,Closed,ОАЭ,,,,,,,olga.lazovskaya,25.05.2026 16:03,Исправлено/Выполнено,,19.05.2026 13:21,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69789,1273030,IDBank NDA DBFZ,ADM КА П ПЕРВ,_Тверитинов,ADM_Центр-Азия,обработано,,,,,nina.li,,,,19.05.2026 10:20,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69787,1273005,Databorn KZ: Займ на Databorn Limited LLC KSA 380 000 $ (четвертый),ADM GB п перв,_Суставов,BUHCC_к_подаче_РК,CIF_кподаче,ОАЭ,нетподписанта,обработано,,natalya.voevodina,,,,19.05.2026 08:46,,,lyazzat.tokseitova,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69783,1272936,ARB: Contract (Договор),ADM Согл с КА,ОАЭ,обработано,,,,,,anastasiya.pisareva,,,,18.05.2026 18:13,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69780,1272903,ARB: INSURANCE REQUIREMENT,Closed,ОАЭ,,,,,,,y.filimonova,20.05.2026 17:23,Исправлено/Выполнено,,18.05.2026 17:37,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69779,1272894,ARB: CONTRACTOR’S UNDERTAKING AND CONSENT,Closed,ОАЭ,,,,,,,y.filimonova,20.05.2026 17:14,Исправлено/Выполнено,,18.05.2026 17:31,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69749,1272330,"DBFZ; ISS Global Limited; Договор на участие в конференции",ADM КА П ПЕРВ,FIN_ok,ОАЭ,обработано,,,,,nadezhda.sobol,,,,15.05.2026 18:44,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69745,1272319,DBFZ -> Ефиопия,ADM Согл с КА,ОАЭ,,,,,,,ilya.uglov,,,,15.05.2026 18:22,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69742,1272284,Itransition - Service Framework Agreement DBFZ,ADM Доработка,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,15.05.2026 17:46,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69723,1272094,Просчет рисков при предоставлении услуг в Кювейте ,ADM Согл с КА,ОАЭ,,,,,,,aleksandr.prilepskiy,,,,15.05.2026 14:30,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69717,1272045,Visa/Alinma :: Confirmation letter for Hovhannes Arustamyan,Closed,_Алиева,ОАЭ,,,,,,aleksandr.bryukhanov,04.06.2026 10:18,Исправлено/Выполнено,,15.05.2026 13:25,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69716,1272038,"VISA - Change Order for T&M Project, Data Science (Jun'26-Sep'26)",Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,08.06.2026 13:06,Исправлено/Выполнено,,15.05.2026 13:09,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69712,1272001,DBFZ Argos fix 2026,Closed,_Алиева,ОАЭ,обработано,,,,,oksana.belyakova,25.05.2026 15:28,Исправлено/Выполнено,,15.05.2026 12:25,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69690,1271788,Vtech: Анализ рисков договора между партнером DBFZ в Эфиопии с Конечным заказчиком,ADM Согл с КА,ОАЭ,,,,,,,maksim.simetskiy,,,,14.05.2026 18:34,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69685,1271741,TACONS Проверка контрагента ЦА для ОАЭ,Closed,ОАЭ,,,,,,,nina.li,15.05.2026 14:01,Исправлено/Выполнено,,14.05.2026 16:52,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69683,1271720,TACONS NDA DBFZ,Closed,_Алиева,ОАЭ,обработано,,,,,nina.li,28.05.2026 09:52,Исправлено/Выполнено,,14.05.2026 16:39,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69678,1271701,DBSA: Suppliers Code of Conduct (Mobily),Closed,_Алиева,ОАЭ,обработано,,,,,eva.uglova,29.05.2026 09:28,Исправлено/Выполнено,,14.05.2026 15:57,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69677,1271697,DBSA: NDA Mobily,Closed,_Алиева,ОАЭ,обработано,,,,,eva.uglova,29.05.2026 09:28,Исправлено/Выполнено,,14.05.2026 15:54,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-69669,1271629,DBFZ Письмо в DU о продлении договора на интернет в офисе ,ADM Доработка,ОАЭ,,,,,,,anastasiya.vavulina,,,,14.05.2026 14:12,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69651,1271444,Согласование NDA с Innova,ADM КА п экз GB,_Алиева,ОАЭ,ША,,,,,maksim.simetskiy,,,,14.05.2026 10:34,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69647,1271278,"VISA: T&M DS on site | Jun'26-May'27",ADM Согл с КА,ОАЭ,обработано,,,,,,aleksandr.prilepskiy,,,,13.05.2026 18:54,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69621,1270963,NDA c NNTC,ADM Отложено,ДТ,ОАЭ,,,,,,igor.generalov,,,,13.05.2026 12:15,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69605,1270657,DBFZ CVM SOLUTIONS LIMITED (Григорий Цомык): Annex №7 к Договору ГПХ,ADM КА п экз GB,_Алиева,ОАЭ,обработано,,,,,liana.akhmetshina,,,,12.05.2026 17:50,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69579,1270253,Vtech: Согласование Teaming Agreement c V-Tech Эфиопия,ADM КА п экз GB,_Алиева,ОАЭ,обработано,,,,,maksim.simetskiy,,,,12.05.2026 10:29,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69578,1270251,DBFZ: Проверить гайды по ТЦО для определения оптимального способа передачи ПО (CM Ocean и все Talysы) на ЮЛ Alphin,ADM Согл с КА,ОАЭ,,,,,,,tatyana.bykovskaya,,,,12.05.2026 10:28,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69565,1269921,DBFZ Договор Elantir консульт.услуги,ADM ЭЛ АРХ и ФП,_Алиева,ОАЭ,обработано,,,,,liana.akhmetshina,,,,08.05.2026 14:51,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69557,1269824,SECTEC: Рамочный договор на оказание услуг,ADM Согл с КА,ОАЭ,обработано,,,,,,evgeniy.mironov,,,,08.05.2026 12:30,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-69513,1269405,VISA: WS AI Agent and Prompt Development,ADM Согл с КА,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,,,,07.05.2026 13:08,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69494,1269020,NDA Dukhan Bank,ADM Доработка,ОАЭ,обработано,,,,,,darikhanda.garmaeva,,,,06.05.2026 16:45,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69460,1268546,"KOMP: Договор на Поставку Лицензий Alphyn (Audience, Batch Flow, Offer, Communication)",ADM Согл с КА,ADM_Products,ADM_Центр-Азия,обработано,,,,,Tatyana.Zhukova,,,,05.05.2026 18:01,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69449,1268410,DBSA. Вопрос о регистрации договоров в налоговой,ADM Доработка,ОАЭ,,,,,,,n.chubukinasolovey,,,,05.05.2026 15:47,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69438,1268295,SECTEC: PO-261194 на оказание услуг по настройке Greenplum,ADM Доработка,ДТ,ОАЭ,,,,,,evgeniy.mironov,,,,05.05.2026 13:20,,,ekaterina.fomina,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Согласование договора,ADM-69430,1268090,MinIO: partner reseller agreement 2026,ADM Согл с КА,ОАЭ,обработано,,,,,,olga.lazovskaya,,,,05.05.2026 10:38,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69402,1267651,DBFZ. Актуализация шаблона ГПХ для кейсов с ИП,Closed,ОАЭ,,,,,,,zhanna.pavlova,15.05.2026 11:27,Исправлено/Выполнено,,04.05.2026 14:36,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69386,1267282,DBFZ. Дополнительный запрос после ADM-68867,ADM Согл с КА,,,,,,,,n.chubukinasolovey,,,,04.05.2026 11:03,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69384,1267195,BCG DBFZ - SOW #4 (Форте банк. Обследование CVM),ADM Отложено,ОАЭ,обработано,,,,,,andrey.sustavov,,,,04.05.2026 09:57,,,n.chubukinasolovey,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69325,1266100,DBSA Representation Letter Transfer Pricing,ADM Согл с КА,ОАЭ,,,,,,,a.kevrolikina,,,,29.04.2026 19:20,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-69324,1266095,KOMP: Письмо об эксклюзивности,Closed,_Алиева,Alphyn,ОАЭ,,,,,Tatyana.Zhukova,21.05.2026 13:05,Исправлено/Выполнено,,29.04.2026 19:04,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69313,1265948,Presight: NDA с Databorn FZ LLC Abu Dhabi,ADM Доработка,ОАЭ,обработано,,,,,,kseniya.gomonova,,,,29.04.2026 15:35,,,noreply,,,,DBAD - Databorn FZ LLC Abu Dhabi,
Прочее,ADM-69310,1265919,DBFZ получение расширенных PoA на Динару и Женю ,ADM Отложено,ОАЭ,,,,,,,anastasiya.vavulina,,,,29.04.2026 15:05,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69262,1265100,DBSA: Terms and Conditions for STC Partnershub,ADM Доработка,ОАЭ,обработано,,,,,,eva.uglova,,,,28.04.2026 14:02,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-69254,1264927,Авторизационное письмо о регистрации Alphyn IIOT,Closed,_Тверитинов,Alphyn,,,,,,Anzhelika.Frolova,04.05.2026 10:58,Исправлено/Выполнено,,28.04.2026 10:42,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69250,1264880,VRM@CBQ - WS - Visa VRM CBQ (Qatar),Closed,_Алиева,ОАЭ,обработано,,,,,dmitriy.antipov,08.06.2026 13:12,Исправлено/Выполнено,,28.04.2026 09:24,,,mariya.saveleva,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69240,1264757,STCS: Code of Conduct ,ADM Согл с КА,ОАЭ,,,,,,,y.filimonova,,,,27.04.2026 17:33,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69235,1264532,Дистрибьюторское соглашение с Mitsumi (Африка),ADM Согл с КА,ОАЭ,обработано,,,,,,maksim.simetskiy,,,,27.04.2026 13:44,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69227,1264344, DBFZ Urgent Submission of Company Self-Declaration Form,Closed,ОАЭ,,,,,,,anastasiya.vavulina,27.04.2026 13:29,Исправлено/Выполнено,,27.04.2026 12:06,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69224,1264230,DBFZ Bank loan ,ADM Доработка,ОАЭ,,,,,,,anastasiya.vavulina,,,,27.04.2026 11:09,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69209,1264016,InnerCode: Order form,ADM Доработка,ОАЭ,обработано,,,,,,anastasiya.pisareva,,,,24.04.2026 18:10,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69206,1263988,InnerCode: SOW,ADM КА п экз GB,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,,,,24.04.2026 17:39,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69151,1263430,MinIO: согласование договора на NFR лицензии 2026,ADM КА П ПЕРВ,ОАЭ,обработано,,,,,,viktoriya.lisenko,,,,23.04.2026 16:16,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69119,1263040,ИЮЛ. Лимит суммы платежа для заведения договоров,ADM Согл Ю+Б,ОАЭ,,,,,,,mariya.saveleva,,,,22.04.2026 17:54,,,mariya.saveleva,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-69104,1262880,Alphyn. Проработка единой платформы,ADM Согл с КА,Alphyn,,,,,,,Dinara.Alieva,,,,22.04.2026 14:04,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69092,1262738,Etihad: NDA c DBFZ,ADM Согл с КА,ОАЭ,обработано,,,,,,kseniya.gomonova,,,,22.04.2026 10:46,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-69066,1262187,Ejada: framework agreement with DBSA,ADM Согл с КА,CIF,ОАЭ,обработано,приоритет0,,,,kseniya.gomonova,,,,21.04.2026 11:27,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-69014,1261355,DBFZ договор оказания услуг с DBSA,ADM Доработка,ОАЭ,обработано,,,,,,natalya.voevodina,,,,17.04.2026 16:43,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68984,1260891,Рамочный агентский договор на ФЗ (DBFZ),ADM Согл с КА,ОАЭ,обработано,,,,,,anastasiya.soloveva,,,,16.04.2026 17:04,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-68981,1260836,Поиск NDA,ADM Доработка,ОАЭ,,,,,,,ekaterina.krepp,,,,16.04.2026 15:58,,,noreply,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-68966,1260674,BCG2500006: Addendum #2 to the SOW,ADM КА п экз GB,_Коломейцев,ОАЭ,нетподписанта,обработано,,,,sofiya.adzhiniyazova,,,,16.04.2026 12:10,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
